concept id	name	element file id
FMA44660	dorsal digital artery of foot	FJ2141
FMA62955	anatomical entity	FJ2966
FMA67165	material anatomical entity	FJ3225
FMA61775	physical anatomical entity	FJ1680M
FMA64989	heterogeneous cluster	FJ2770
FMA5018	bone organ	FJ3157
FMA67498	organ	FJ3281
FMA45959	lateral head of gastrocnemius	FJ1394M
FMA62955	anatomical entity	FJ3393
FMA67135	anatomical structure	FJ3200
FMA62955	anatomical entity	FJ3165
FMA67135	anatomical structure	FJ3281
FMA9621	muscle of upper limb	FJ1475M
FMA9915	cervical vertebra	FJ3170
FMA67498	organ	FJ3233
FMA67619	organ region	FJ1724M
FMA54839	interosseous membrane	FJ1392M
FMA5018	bone organ	FJ3395
FMA5018	bone organ	FJ3281
FMA7474	long bone	FJ3286
FMA66644	systemic vein	FJ3635
FMA7477	irregular bone	FJ3161
FMA82472	cardinal organ part	FJ1397
FMA52747	zygomatic bone	FJ3287
FMA5018	bone organ	FJ3230
FMA50720	artery	FJ1705
FMA61775	physical anatomical entity	FJ1468
FMA67498	organ	FJ1537
FMA67498	organ	FJ3177
FMA50723	vein	FJ3486
FMA67498	organ	FJ3237
FMA62955	anatomical entity	FJ2601
FMA55665	nonparenchymatous organ	FJ3208
FMA67498	organ	FJ3179
FMA61775	physical anatomical entity	FJ3346
FMA61775	physical anatomical entity	FJ1693
FMA67165	material anatomical entity	FJ1545
FMA10474	zone of muscle organ	FJ1443
FMA67498	organ	FJ3155
FMA67135	anatomical structure	FJ3386
FMA70485	anterior division of renal artery	FJ3560
FMA55665	nonparenchymatous organ	FJ1499M
FMA67165	material anatomical entity	FJ3093
FMA86188	segment of venous tree organ	FJ1996
FMA82472	cardinal organ part	FJ1512M
FMA67135	anatomical structure	FJ1815
FMA67165	material anatomical entity	FJ3349
FMA61775	physical anatomical entity	FJ1397
FMA10455	intervertebral disk of thoracic vertebra	FJ3210
FMA55673	organ with cavitated organ parts	FJ3226
FMA45961	lateral head of left gastrocnemius	FJ1394M
FMA69515	left deep plantar artery	FJ2068
FMA55671	cavitated organ	FJ3165
FMA61775	physical anatomical entity	FJ3259
FMA62955	anatomical entity	FJ3164
FMA67165	material anatomical entity	FJ1442
FMA67135	anatomical structure	FJ3237
FMA7474	long bone	FJ3340
FMA9914	vertebra	FJ3170
FMA67165	material anatomical entity	FJ2673
FMA86140	organ segment	FJ2920
FMA61775	physical anatomical entity	FJ1348
FMA67165	material anatomical entity	FJ3161
FMA55652	anatomical set	FJ1553M
FMA86140	organ segment	FJ1973
FMA22433	vastus intermedius	FJ1441M
FMA67498	organ	FJ1452
FMA50478	left prefrontal artery	FJ1724M
FMA86140	organ segment	FJ2663
FMA61775	physical anatomical entity	FJ1725
FMA50723	vein	FJ3082
FMA62955	anatomical entity	FJ1478M
FMA55665	nonparenchymatous organ	FJ1503M
FMA76269	branch of basilar artery	FJ1675M
FMA62955	anatomical entity	FJ3221
FMA67135	anatomical structure	FJ1467M
FMA67165	material anatomical entity	FJ3229
FMA22470	muscle of thigh	FJ1436M
FMA67498	organ	FJ3268
FMA62955	anatomical entity	FJ1445
FMA55671	cavitated organ	FJ3155
FMA8515	twelfth rib	FJ3332
FMA67135	anatomical structure	FJ2312
FMA55665	nonparenchymatous organ	FJ3215
FMA55673	organ with cavitated organ parts	FJ3232
FMA55665	nonparenchymatous organ	FJ1452M
FMA82472	cardinal organ part	FJ1477M
FMA86140	organ segment	FJ1363
FMA61775	physical anatomical entity	FJ3173
FMA67619	organ region	FJ3497
FMA46290	suprahyoid muscle	FJ1579
FMA67165	material anatomical entity	FJ1253
FMA62955	anatomical entity	FJ1521
FMA67619	organ region	FJ1447
FMA67165	material anatomical entity	FJ3227
FMA20570	peritoneal mesentery	FJ3396
